10,50,100,500,1000
0.56,0.406,0.526,0.3956,0.5663
0.6,0.576,0.579,0.534,0.5621
0.27,0.59,0.735,0.5368,0.6749
0.23,0.498,0.561,0.4856,0.625
0.5,0.418,0.512,0.4848,0.5854
0.49,0.544,0.468,0.484,0.4392
0.58,0.584,0.52,0.5368,0.6026
0.49,0.55,0.662,0.4712,0.6805
0.47,0.656,0.481,0.4072,0.5184
0.63,0.552,0.488,0.559,0.5516
0.46,0.454,0.558,0.5132,0.391
0.5,0.46,0.32,0.6622,0.62
0.54,0.666,0.523,0.5684,0.5952
0.57,0.4,0.593,0.3866,0.6296
0.4,0.494,0.575,0.6804,0.5279
0.54,0.504,0.476,0.5048,0.622
0.53,0.656,0.513,0.5988,0.3587
0.67,0.484,0.667,0.5266,0.5323
0.68,0.464,0.57,0.46,0.6365
0.32,0.48,0.628,0.5916,0.6844
0.66,0.426,0.589,0.4942,0.5493
0.37,0.448,0.531,0.6332,0.4152
0.7,0.542,0.58,0.4516,0.5807
0.44,0.546,0.479,0.5548,0.4568
0.37,0.548,0.627,0.4902,0.6197
0.5,0.508,0.6,0.5398,0.5562
0.57,0.552,0.584,0.565,0.373
0.52,0.53,0.714,0.4358,0.4035
0.45,0.428,0.608,0.7088,0.5411
0.57,0.528,0.503,0.549,0.7716
0.51,0.618,0.495,0.6672,0.4825
0.51,0.464,0.475,0.3996,0.3925
0.41,0.486,0.536,0.3672,0.5185
0.58,0.476,0.575,0.4456,0.4474
0.52,0.386,0.592,0.3332,0.4663
0.52,0.632,0.53,0.5536,0.6407
0.49,0.572,0.395,0.6114,0.479
0.4,0.412,0.391,0.4198,0.577
0.64,0.496,0.545,0.6754,0.5135
0.51,0.48,0.585,0.5692,0.5991
0.36,0.636,0.566,0.3898,0.6824
0.56,0.496,0.585,0.6228,0.4567
0.49,0.754,0.532,0.402,0.5334
0.31,0.678,0.586,0.537,0.6512
0.41,0.706,0.353,0.355,0.4987
0.47,0.426,0.603,0.4734,0.3828
0.39,0.484,0.535,0.5128,0.5354
0.39,0.404,0.458,0.5008,0.6703
0.63,0.522,0.646,0.5654,0.4073
0.47,0.65,0.452,0.4086,0.598
0.43,0.554,0.546,0.5864,0.5872
0.59,0.686,0.62,0.4166,0.5462
0.36,0.542,0.374,0.6422,0.5759
0.4,0.482,0.435,0.5614,0.5382
0.39,0.312,0.521,0.5174,0.5969
0.31,0.496,0.477,0.561,0.5321
0.45,0.694,0.412,0.6262,0.3721
0.57,0.592,0.547,0.4606,0.7072
0.52,0.478,0.504,0.4004,0.5235
0.35,0.446,0.467,0.4974,0.6379
0.6,0.488,0.59,0.5334,0.6275
0.65,0.364,0.516,0.389,0.5635
0.66,0.456,0.469,0.6082,0.4634
0.47,0.53,0.685,0.5394,0.6303
0.67,0.586,0.476,0.4172,0.5223
0.51,0.586,0.476,0.5386,0.393
0.49,0.408,0.663,0.5672,0.4778
0.54,0.476,0.379,0.631,0.7169
0.41,0.554,0.398,0.5636,0.5667
0.54,0.558,0.503,0.5266,0.5632
0.65,0.44,0.597,0.4768,0.5242
0.53,0.514,0.489,0.5426,0.5494
0.5,0.654,0.653,0.5428,0.6142
0.59,0.642,0.532,0.601,0.5545
0.52,0.584,0.481,0.53,0.5261
0.57,0.602,0.586,0.3516,0.4916
0.44,0.594,0.589,0.4048,0.5557
0.58,0.51,0.501,0.626,0.506
0.53,0.548,0.417,0.5206,0.6647
0.49,0.598,0.54,0.627,0.5627
0.57,0.606,0.494,0.5804,0.5622
0.56,0.57,0.557,0.3564,0.5551
0.47,0.51,0.521,0.501,0.4745
0.43,0.56,0.533,0.6302,0.5978
0.64,0.564,0.444,0.5028,0.4964
0.55,0.582,0.614,0.561,0.6318
0.55,0.55,0.484,0.4286,0.5503
0.56,0.582,0.389,0.6228,0.6959
0.72,0.67,0.549,0.4344,0.4432
0.45,0.436,0.472,0.3446,0.5767
0.61,0.552,0.575,0.401,0.5855
0.32,0.48,0.507,0.519,0.4767
0.48,0.424,0.716,0.475,0.4661
0.31,0.788,0.509,0.629,0.6162
0.65,0.496,0.576,0.5496,0.6107
0.67,0.388,0.529,0.3818,0.6262
0.47,0.4,0.527,0.5802,0.6509
0.52,0.422,0.366,0.7088,0.359
0.48,0.44,0.588,0.5592,0.3884
0.25,0.572,0.732,0.4842,0.5563